"sag_pos_x"|"sag_pos_y"|"sag_pos_z"|"sag_pitch"|"sag_roll"|"sag_yaw"|"sag_armd_x"|"sag_armd_y"|"sag_armd_z"|"sag_wrp_x"|"sag_wrp_y"|"sag_wrp_z"|"sag_elbp_x"|"sag_elbp_y"|"sag_elbp_z"|"sag_m_s_x_pinky"|"sag_m_s_y_pinky"|"sag_m_s_z_pinky"|"sag_m_e_x_pinky"|"sag_m_e_y_pinky"|"sag_m_e_z_pinky"|"sag_m_d_x_pinky"|"sag_m_d_y_pinky"|"sag_m_d_z_pinky"|"sag_p_s_x_pinky"|"sag_p_s_y_pinky"|"sag_p_s_z_pinky"|"sag_p_e_x_pinky"|"sag_p_e_y_pinky"|"sag_p_e_z_pinky"|"sag_p_d_x_pinky"|"sag_p_d_y_pinky"|"sag_p_d_z_pinky"|"sag_i_s_x_pinky"|"sag_i_s_y_pinky"|"sag_i_s_z_pinky"|"sag_i_e_x_pinky"|"sag_i_e_y_pinky"|"sag_i_e_z_pinky"|"sag_i_d_x_pinky"|"sag_i_d_y_pinky"|"sag_i_d_z_pinky"|"sag_d_s_x_pinky"|"sag_d_s_y_pinky"|"sag_d_s_z_pinky"|"sag_d_e_x_pinky"|"sag_d_e_y_pinky"|"sag_d_e_z_pinky"|"sag_d_d_x_pinky"|"sag_d_d_y_pinky"|"sag_d_d_z_pinky"|"sag_m_s_x_ring"|"sag_m_s_y_ring"|"sag_m_s_z_ring"|"sag_m_e_x_ring"|"sag_m_e_y_ring"|"sag_m_e_z_ring"|"sag_m_d_x_ring"|"sag_m_d_y_ring"|"sag_m_d_z_ring"|"sag_p_s_x_ring"|"sag_p_s_y_ring"|"sag_p_s_z_ring"|"sag_p_e_x_ring"|"sag_p_e_y_ring"|"sag_p_e_z_ring"|"sag_p_d_x_ring"|"sag_p_d_y_ring"|"sag_p_d_z_ring"|"sag_i_s_x_ring"|"sag_i_s_y_ring"|"sag_i_s_z_ring"|"sag_i_e_x_ring"|"sag_i_e_y_ring"|"sag_i_e_z_ring"|"sag_i_d_x_ring"|"sag_i_d_y_ring"|"sag_i_d_z_ring"|"sag_d_s_x_ring"|"sag_d_s_y_ring"|"sag_d_s_z_ring"|"sag_d_e_x_ring"|"sag_d_e_y_ring"|"sag_d_e_z_ring"|"sag_d_d_x_ring"|"sag_d_d_y_ring"|"sag_d_d_z_ring"|"sag_m_s_x_middle"|"sag_m_s_y_middle"|"sag_m_s_z_middle"|"sag_m_e_x_middle"|"sag_m_e_y_middle"|"sag_m_e_z_middle"|"sag_m_d_x_middle"|"sag_m_d_y_middle"|"sag_m_d_z_middle"|"sag_p_s_x_middle"|"sag_p_s_y_middle"|"sag_p_s_z_middle"|"sag_p_e_x_middle"|"sag_p_e_y_middle"|"sag_p_e_z_middle"|"sag_p_d_x_middle"|"sag_p_d_y_middle"|"sag_p_d_z_middle"|"sag_i_s_x_middle"|"sag_i_s_y_middle"|"sag_i_s_z_middle"|"sag_i_e_x_middle"|"sag_i_e_y_middle"|"sag_i_e_z_middle"|"sag_i_d_x_middle"|"sag_i_d_y_middle"|"sag_i_d_z_middle"|"sag_d_s_x_middle"|"sag_d_s_y_middle"|"sag_d_s_z_middle"|"sag_d_e_x_middle"|"sag_d_e_y_middle"|"sag_d_e_z_middle"|"sag_d_d_x_middle"|"sag_d_d_y_middle"|"sag_d_d_z_middle"|"sag_m_s_x_index"|"sag_m_s_y_index"|"sag_m_s_z_index"|"sag_m_e_x_index"|"sag_m_e_y_index"|"sag_m_e_z_index"|"sag_m_d_x_index"|"sag_m_d_y_index"|"sag_m_d_z_index"|"sag_p_s_x_index"|"sag_p_s_y_index"|"sag_p_s_z_index"|"sag_p_e_x_index"|"sag_p_e_y_index"|"sag_p_e_z_index"|"sag_p_d_x_index"|"sag_p_d_y_index"|"sag_p_d_z_index"|"sag_i_s_x_index"|"sag_i_s_y_index"|"sag_i_s_z_index"|"sag_i_e_x_index"|"sag_i_e_y_index"|"sag_i_e_z_index"|"sag_i_d_x_index"|"sag_i_d_y_index"|"sag_i_d_z_index"|"sag_d_s_x_index"|"sag_d_s_y_index"|"sag_d_s_z_index"|"sag_d_e_x_index"|"sag_d_e_y_index"|"sag_d_e_z_index"|"sag_d_d_x_index"|"sag_d_d_y_index"|"sag_d_d_z_index"|"sag_m_s_x_thumb"|"sag_m_s_y_thumb"|"sag_m_s_z_thumb"|"sag_m_e_x_thumb"|"sag_m_e_y_thumb"|"sag_m_e_z_thumb"|"sag_m_d_x_thumb"|"sag_m_d_y_thumb"|"sag_m_d_z_thumb"|"sag_p_s_x_thumb"|"sag_p_s_y_thumb"|"sag_p_s_z_thumb"|"sag_p_e_x_thumb"|"sag_p_e_y_thumb"|"sag_p_e_z_thumb"|"sag_p_d_x_thumb"|"sag_p_d_y_thumb"|"sag_p_d_z_thumb"|"sag_i_s_x_thumb"|"sag_i_s_y_thumb"|"sag_i_s_z_thumb"|"sag_i_e_x_thumb"|"sag_i_e_y_thumb"|"sag_i_e_z_thumb"|"sag_i_d_x_thumb"|"sag_i_d_y_thumb"|"sag_i_d_z_thumb"|"sag_d_s_x_thumb"|"sag_d_s_y_thumb"|"sag_d_s_z_thumb"|"sag_d_e_x_thumb"|"sag_d_e_y_thumb"|"sag_d_e_z_thumb"|"sag_d_d_x_thumb"|"sag_d_d_y_thumb"|"sag_d_d_z_thumb"
-19.3006|173.208|93.2909|25.7860510406|-87.7450712157|41.1119985094|-0.0297106|0.242968|-0.969579|-54.3202|140.97|151.921|-46.3025|75.4027|413.572|-36.8704|136.24|123.847|-3.33882|140.974|76.8149|-0.578577|-0.0816704|0.811529|-3.33882|140.974|76.8149|-11.1011|151.44|43.6145|0.217639|-0.29346|0.930868|-11.1011|151.44|43.6145|-22.8857|157.705|29.0855|0.597338|-0.317547|0.736445|-22.8857|157.705|29.0855|-35.0455|163.145|17.9124|0.699384|-0.312868|0.642632|-32.8022|148.415|129.977|0.12225|162.026|78.4943|-0.525886|-0.217398|0.822303|0.12225|162.026|78.4943|-9.42116|174.05|36.1219|0.211759|-0.266795|0.940201|-9.42116|174.05|36.1219|-27.1609|179.78|15.3074|0.634866|-0.205081|0.744907|-27.1609|179.78|15.3074|-41.5786|182.946|3.59065|0.765024|-0.167992|0.621705|-35.6805|159.541|134.302|-1.31877|184.747|79.107|-0.492769|-0.361474|0.791527|-1.31877|184.747|79.107|-11.3812|196.532|33.024|0.206965|-0.242397|0.947844|-11.3812|196.532|33.024|-31.0266|200.297|12.4665|0.684911|-0.131252|0.716708|-31.0266|200.297|12.4665|-47.0312|201.516|2.38375|0.844342|-0.0643241|0.531929|-41.5878|169.654|138.082|-8.46461|205.321|82.9667|-0.450461|-0.485049|0.749541|-8.46461|205.321|82.9667|-17.0186|212.34|41.0679|0.197391|-0.161966|0.966852|-17.0186|212.34|41.0679|-34.0056|211.542|23.598|0.696756|0.0326941|0.716563|-34.0056|211.542|23.598|-48.9003|209.286|15.2275|0.864266|0.130923|0.485698|-64.7776|172.993|134.563|-64.7776|172.993|134.563|0.0|0.0|0.0|-64.7776|172.993|134.563|-52.4087|199.828|94.362|-0.247914|-0.537861|0.805757|-52.4087|199.828|94.362|-43.8566|210.589|62.8368|-0.248671|-0.312894|0.916657|-43.8566|210.589|62.8368|-38.238|213.384|40.0794|-0.238009|-0.11838|0.964022
-18.5666|216.771|85.2691|19.9713982342|-109.843923137|43.3201440523|-0.189772|0.339727|-0.92118|-57.1001|187.572|142.584|-5.88828|95.8935|391.174|-44.7174|182.12|112.184|-12.9218|184.043|63.768|-0.548623|-0.0331772|0.835412|-12.9218|184.043|63.768|-15.9193|196.389|30.4414|0.0840435|-0.346157|0.934404|-15.9193|196.389|30.4414|-24.4563|206.447|15.7727|0.432723|-0.509817|0.74353|-24.4563|206.447|15.7727|-33.9399|215.972|4.74472|0.54546|-0.547864|0.634286|-37.1706|191.729|119.469|-3.61941|202.889|67.8018|-0.535896|-0.178261|0.825251|-3.61941|202.889|67.8018|-10.0329|220.324|26.7413|0.142309|-0.386862|0.91109|-10.0329|220.324|26.7413|-25.5299|232.924|7.19959|0.554606|-0.450902|0.699357|-25.5299|232.924|7.19959|-38.9419|241.346|-3.0163|0.711653|-0.446892|0.542067|-36.6449|202.496|125.349|1.41343|224.816|71.3496|-0.545781|-0.320092|0.77438|1.41343|224.816|71.3496|-8.4159|246.259|28.8363|0.202172|-0.441038|0.874421|-8.4159|246.259|28.8363|-27.196|258.231|10.7616|0.654742|-0.417403|0.63015|-27.196|258.231|10.7616|-42.6611|265.157|2.26675|0.815884|-0.365361|0.448158|-39.3283|213.205|130.786|0.488146|245.806|78.2626|-0.541488|-0.443361|0.714298|0.488146|245.806|78.2626|-10.6525|263.813|40.4528|0.257081|-0.415527|0.872495|-10.6525|263.813|40.4528|-28.5166|270.388|25.22|0.732727|-0.269687|0.624804|-28.5166|270.388|25.22|-43.1253|273.811|16.7419|0.847678|-0.198582|0.491943|-60.7529|223.228|129.43|-60.7529|223.228|129.43|0.0|0.0|0.0|-60.7529|223.228|129.43|-47.213|247.906|88.2374|-0.271386|-0.494641|0.825639|-47.213|247.906|88.2374|-40.008|258.077|56.184|-0.209497|-0.295738|0.932014|-40.008|258.077|56.184|-36.8507|259.822|32.8545|-0.133749|-0.0739013|0.988256
-30.8312|216.184|86.8076|-10.647323328|21.3134057708|10.7352662835|-0.36164|0.271889|-0.891792|-33.1901|231.783|160.169|64.4023|158.411|400.828|-20.0569|238.824|131.309|6.08931|228.947|80.5385|-0.451146|0.170433|0.876025|6.08931|228.947|80.5385|9.14551|193.454|78.802|-0.0856892|0.995132|0.0486891|9.14551|193.454|78.802|3.38632|189.064|97.1535|0.291921|0.222509|-0.9302|3.38632|189.064|97.1535|-2.04853|196.055|112.116|0.312592|-0.402086|-0.860589|-33.1638|240.593|126.071|-11.6603|223.947|69.6775|-0.343464|0.265868|0.900748|-11.6603|223.947|69.6775|-2.94802|179.834|72.7039|-0.193316|0.978836|-0.0671521|-2.94802|179.834|72.7039|-9.00052|176.724|99.8052|0.216606|0.111272|-0.969897|-9.00052|176.724|99.8052|-14.8245|186.543|114.8|0.309029|-0.520991|-0.795657|-44.9102|237.049|125.582|-30.5202|214.375|61.2281|-0.206361|0.325155|0.92287|-30.5202|214.375|61.2281|-19.5047|167.031|60.2781|-0.226568|0.973799|0.0195386|-19.5047|167.031|60.2781|-20.0775|160.418|88.1829|0.0199675|0.230522|-0.972862|-20.0775|160.418|88.1829|-22.8607|166.705|105.847|0.146835|-0.331663|-0.931901|-55.7547|231.564|127.524|-49.9742|203.976|59.6097|-0.0786127|0.37519|0.923608|-49.9742|203.976|59.6097|-38.3384|178.054|26.8894|-0.268507|0.598168|0.755049|-38.3384|178.054|26.8894|-29.6443|157.746|16.5752|-0.356604|0.83298|0.423059|-29.6443|157.746|16.5752|-23.1334|142.286|12.6239|-0.3778|0.897051|0.229275|-58.2089|212.719|141.671|-58.2089|212.719|141.671|0.0|0.0|0.0|-58.2089|212.719|141.671|-53.8142|181.876|102.703|-0.0880833|0.618209|0.781063|-53.8142|181.876|102.703|-41.2692|161.899|77.6759|-0.364772|0.580857|0.727699|-41.2692|161.899|77.6759|-26.3825|150.388|63.4225|-0.630612|0.487616|0.603788
-20.1188|207.758|80.3394|23.5018410951|-106.052963198|42.2510964913|-0.097835|0.182637|-0.978301|-57.5111|177.457|137.9|-31.1093|128.171|401.905|-43.6352|171.171|107.123|-12.3068|175.657|58.5723|-0.540563|-0.0774036|0.837735|-12.3068|175.657|58.5723|-18.8625|189.556|26.387|0.183808|-0.389714|0.902406|-18.8625|189.556|26.387|-28.6149|199.345|12.3053|0.494329|-0.496154|0.713772|-28.6149|199.345|12.3053|-38.5814|208.285|1.21364|0.573237|-0.514218|0.637949|-36.7424|181.234|114.442|-4.32721|195.081|62.7001|-0.517752|-0.221163|0.82645|-4.32721|195.081|62.7001|-15.6755|213.213|23.0327|0.251808|-0.402339|0.88018|-15.6755|213.213|23.0327|-32.3804|224.925|3.93932|0.597832|-0.419145|0.683311|-32.3804|224.925|3.93932|-46.1814|232.529|-6.39932|0.732299|-0.403482|0.548581|-36.9419|191.97|120.398|-0.825094|217.282|66.3848|-0.517938|-0.36298|0.774588|-0.825094|217.282|66.3848|-15.4288|238.114|24.9537|0.300371|-0.428482|0.852162|-15.4288|238.114|24.9537|-35.4386|248.736|7.36083|0.697614|-0.370314|0.613353|-35.4386|248.736|7.36083|-50.7173|254.968|-1.96736|0.806046|-0.328796|0.492121|-40.3408|202.427|125.927|-3.18306|238.106|73.4559|-0.505331|-0.485221|0.713583|-3.18306|238.106|73.4559|-18.0179|254.966|36.3935|0.342328|-0.389052|0.855249|-18.0179|254.966|36.3935|-35.5303|260.876|20.4943|0.718305|-0.242401|0.652135|-35.5303|260.876|20.4943|-50.5039|263.22|12.2906|0.868844|-0.136062|0.476023|-62.422|210.932|124.746|-62.422|210.932|124.746|0.0|0.0|0.0|-62.422|210.932|124.746|-51.1988|234.443|82.1967|-0.22495|-0.471253|0.852829|-51.1988|234.443|82.1967|-45.1862|243.717|49.6295|-0.174827|-0.269649|0.946956|-45.1862|243.717|49.6295|-43.1278|242.695|26.1349|-0.0871947|0.0432948|0.99525
