"sol_pos_x"|"sol_pos_y"|"sol_pos_z"|"sol_pitch"|"sol_roll"|"sol_yaw"|"sol_armd_x"|"sol_armd_y"|"sol_armd_z"|"sol_wrp_x"|"sol_wrp_y"|"sol_wrp_z"|"sol_elbp_x"|"sol_elbp_y"|"sol_elbp_z"|"sol_m_s_x_pinky"|"sol_m_s_y_pinky"|"sol_m_s_z_pinky"|"sol_m_e_x_pinky"|"sol_m_e_y_pinky"|"sol_m_e_z_pinky"|"sol_m_d_x_pinky"|"sol_m_d_y_pinky"|"sol_m_d_z_pinky"|"sol_p_s_x_pinky"|"sol_p_s_y_pinky"|"sol_p_s_z_pinky"|"sol_p_e_x_pinky"|"sol_p_e_y_pinky"|"sol_p_e_z_pinky"|"sol_p_d_x_pinky"|"sol_p_d_y_pinky"|"sol_p_d_z_pinky"|"sol_i_s_x_pinky"|"sol_i_s_y_pinky"|"sol_i_s_z_pinky"|"sol_i_e_x_pinky"|"sol_i_e_y_pinky"|"sol_i_e_z_pinky"|"sol_i_d_x_pinky"|"sol_i_d_y_pinky"|"sol_i_d_z_pinky"|"sol_d_s_x_pinky"|"sol_d_s_y_pinky"|"sol_d_s_z_pinky"|"sol_d_e_x_pinky"|"sol_d_e_y_pinky"|"sol_d_e_z_pinky"|"sol_d_d_x_pinky"|"sol_d_d_y_pinky"|"sol_d_d_z_pinky"|"sol_m_s_x_ring"|"sol_m_s_y_ring"|"sol_m_s_z_ring"|"sol_m_e_x_ring"|"sol_m_e_y_ring"|"sol_m_e_z_ring"|"sol_m_d_x_ring"|"sol_m_d_y_ring"|"sol_m_d_z_ring"|"sol_p_s_x_ring"|"sol_p_s_y_ring"|"sol_p_s_z_ring"|"sol_p_e_x_ring"|"sol_p_e_y_ring"|"sol_p_e_z_ring"|"sol_p_d_x_ring"|"sol_p_d_y_ring"|"sol_p_d_z_ring"|"sol_i_s_x_ring"|"sol_i_s_y_ring"|"sol_i_s_z_ring"|"sol_i_e_x_ring"|"sol_i_e_y_ring"|"sol_i_e_z_ring"|"sol_i_d_x_ring"|"sol_i_d_y_ring"|"sol_i_d_z_ring"|"sol_d_s_x_ring"|"sol_d_s_y_ring"|"sol_d_s_z_ring"|"sol_d_e_x_ring"|"sol_d_e_y_ring"|"sol_d_e_z_ring"|"sol_d_d_x_ring"|"sol_d_d_y_ring"|"sol_d_d_z_ring"|"sol_m_s_x_middle"|"sol_m_s_y_middle"|"sol_m_s_z_middle"|"sol_m_e_x_middle"|"sol_m_e_y_middle"|"sol_m_e_z_middle"|"sol_m_d_x_middle"|"sol_m_d_y_middle"|"sol_m_d_z_middle"|"sol_p_s_x_middle"|"sol_p_s_y_middle"|"sol_p_s_z_middle"|"sol_p_e_x_middle"|"sol_p_e_y_middle"|"sol_p_e_z_middle"|"sol_p_d_x_middle"|"sol_p_d_y_middle"|"sol_p_d_z_middle"|"sol_i_s_x_middle"|"sol_i_s_y_middle"|"sol_i_s_z_middle"|"sol_i_e_x_middle"|"sol_i_e_y_middle"|"sol_i_e_z_middle"|"sol_i_d_x_middle"|"sol_i_d_y_middle"|"sol_i_d_z_middle"|"sol_d_s_x_middle"|"sol_d_s_y_middle"|"sol_d_s_z_middle"|"sol_d_e_x_middle"|"sol_d_e_y_middle"|"sol_d_e_z_middle"|"sol_d_d_x_middle"|"sol_d_d_y_middle"|"sol_d_d_z_middle"|"sol_m_s_x_index"|"sol_m_s_y_index"|"sol_m_s_z_index"|"sol_m_e_x_index"|"sol_m_e_y_index"|"sol_m_e_z_index"|"sol_m_d_x_index"|"sol_m_d_y_index"|"sol_m_d_z_index"|"sol_p_s_x_index"|"sol_p_s_y_index"|"sol_p_s_z_index"|"sol_p_e_x_index"|"sol_p_e_y_index"|"sol_p_e_z_index"|"sol_p_d_x_index"|"sol_p_d_y_index"|"sol_p_d_z_index"|"sol_i_s_x_index"|"sol_i_s_y_index"|"sol_i_s_z_index"|"sol_i_e_x_index"|"sol_i_e_y_index"|"sol_i_e_z_index"|"sol_i_d_x_index"|"sol_i_d_y_index"|"sol_i_d_z_index"|"sol_d_s_x_index"|"sol_d_s_y_index"|"sol_d_s_z_index"|"sol_d_e_x_index"|"sol_d_e_y_index"|"sol_d_e_z_index"|"sol_d_d_x_index"|"sol_d_d_y_index"|"sol_d_d_z_index"|"sol_m_s_x_thumb"|"sol_m_s_y_thumb"|"sol_m_s_z_thumb"|"sol_m_e_x_thumb"|"sol_m_e_y_thumb"|"sol_m_e_z_thumb"|"sol_m_d_x_thumb"|"sol_m_d_y_thumb"|"sol_m_d_z_thumb"|"sol_p_s_x_thumb"|"sol_p_s_y_thumb"|"sol_p_s_z_thumb"|"sol_p_e_x_thumb"|"sol_p_e_y_thumb"|"sol_p_e_z_thumb"|"sol_p_d_x_thumb"|"sol_p_d_y_thumb"|"sol_p_d_z_thumb"|"sol_i_s_x_thumb"|"sol_i_s_y_thumb"|"sol_i_s_z_thumb"|"sol_i_e_x_thumb"|"sol_i_e_y_thumb"|"sol_i_e_z_thumb"|"sol_i_d_x_thumb"|"sol_i_d_y_thumb"|"sol_i_d_z_thumb"|"sol_d_s_x_thumb"|"sol_d_s_y_thumb"|"sol_d_s_z_thumb"|"sol_d_e_x_thumb"|"sol_d_e_y_thumb"|"sol_d_e_z_thumb"|"sol_d_d_x_thumb"|"sol_d_d_y_thumb"|"sol_d_d_z_thumb"
-68.9265|194.642|-43.4702|101.889860397|-111.559523243|92.0338631589|-0.187541|0.81005|-0.55556|-133.317|162.643|-41.2736|-82.7073|-55.9573|108.65|-109.344|164.257|-50.691|-52.2626|158.778|-42.297|-0.984929|0.0945393|-0.144836|-52.2626|158.778|-42.297|-35.4381|164.616|-11.3953|-0.471723|-0.1637|-0.866418|-35.4381|164.616|-11.3953|-35.4025|171.223|7.19413|-0.00180423|-0.33488|-0.942259|-35.4025|171.223|7.19413|-37.6533|177.614|23.206|0.129458|-0.367565|-0.920943|-108.722|176.244|-58.3242|-47.2637|179.108|-46.7338|-0.981649|-0.0457471|-0.185127|-47.2637|179.108|-46.7338|-25.9517|183.981|-7.32419|-0.472893|-0.108125|-0.87446|-25.9517|183.981|-7.32419|-26.1413|189.278|20.1109|0.00678586|-0.189574|-0.981843|-26.1413|189.278|20.1109|-31.084|193.313|37.8441|0.262265|-0.214101|-0.940945|-111.72|188.075|-59.6738|-44.5262|201.717|-46.9695|-0.963604|-0.195639|-0.182187|-44.5262|201.717|-46.9695|-22.1196|208.84|-4.41387|-0.460863|-0.146514|-0.875294|-22.1196|208.84|-4.41387|-23.9428|212.913|23.9201|0.0635643|-0.141987|-0.987825|-23.9428|212.913|23.9201|-28.467|215.4|42.1586|0.238679|-0.131227|-0.962191|-116.57|199.317|-58.4307|-48.3618|223.435|-45.2813|-0.927602|-0.327987|-0.178827|-48.3618|223.435|-45.2813|-30.8791|225.154|-5.66632|-0.403429|-0.03968|-0.91415|-30.8791|225.154|-5.66632|-33.3494|224.555|18.581|0.101325|0.0245779|-0.99455|-33.3494|224.555|18.581|-35.0956|224.132|35.7209|0.101325|0.0245777|-0.99455|-129.187|205.781|-39.4484|-129.187|205.781|-39.4484|0.0|0.0|0.0|-129.187|205.781|-39.4484|-85.7203|215.054|-16.7794|-0.871215|-0.185847|-0.454362|-85.7203|215.054|-16.7794|-55.7746|216.844|0.0379115|-0.87073|-0.052071|-0.488997|-55.7746|216.844|0.0379115|-35.706|214.473|12.2405|-0.850123|0.100459|-0.516912
-69.5997|241.877|-55.6789|-61.7801955753|177.346738134|89.6005740877|0.626299|0.614875|-0.479247|-143.188|227.022|-52.1405|-312.201|61.0916|77.1894|-115.048|218.584|-56.6371|-59.5298|204.406|-47.9437|-0.957943|0.244633|-0.150001|-59.5298|204.406|-47.9437|-39.8176|212.894|-19.4579|-0.552688|-0.237999|-0.798681|-39.8176|212.894|-19.4579|-38.844|223.174|-2.64762|-0.0493484|-0.521082|-0.852079|-38.844|223.174|-2.64762|-40.3843|233.046|11.5818|0.0885904|-0.567746|-0.818423|-112.646|228.65|-66.3967|-51.2034|222.318|-56.1799|-0.981397|0.101139|-0.163188|-51.2034|222.318|-56.1799|-27.9526|231.309|-18.6348|-0.515911|-0.1995|-0.833088|-27.9526|231.309|-18.6348|-29.3101|242.465|6.94782|0.0485818|-0.399264|-0.915548|-29.3101|242.465|6.94782|-37.9018|251.041|21.3638|0.455882|-0.455032|-0.76493|-113.554|240.378|-69.9192|-44.51|243.614|-60.6963|-0.990128|-0.0464044|-0.132262|-44.51|243.614|-60.6963|-21.374|255.521|-19.6265|-0.475866|-0.244907|-0.844732|-21.374|255.521|-19.6265|-26.7881|265.47|6.72558|0.188754|-0.346859|-0.918728|-26.7881|265.47|6.72558|-38.5191|271.61|20.2893|0.618886|-0.323939|-0.715572|-116.271|252.351|-70.7658|-44.352|265.602|-63.0884|-0.978072|-0.180205|-0.10441|-44.352|265.602|-63.0884|-28.1647|272.647|-23.5121|-0.373536|-0.162581|-0.913257|-28.1647|272.647|-23.5121|-36.2285|276.882|-0.897166|0.330752|-0.173686|-0.927597|-36.2285|276.882|-0.897166|-44.7117|279.68|13.8409|0.49224|-0.162381|-0.85518|-126.689|264.378|-53.2125|-126.689|264.378|-53.2125|0.0|0.0|0.0|-126.689|264.378|-53.2125|-81.5669|277.958|-36.8169|-0.904393|-0.272175|-0.328624|-81.5669|277.958|-36.8169|-50.6447|281.048|-22.0843|-0.899122|-0.0898512|-0.428377|-50.6447|281.048|-22.0843|-30.5649|278.475|-9.94116|-0.850597|0.10901|-0.514395
-77.1913|223.266|16.1161|-112.011558828|-11.735453584|95.5198619783|-0.352573|-0.934118|0.0558116|-137.438|260.849|2.71331|-42.2927|512.931|-12.348|-116.069|245.788|-8.17865|-61.0208|231.313|-19.0841|-0.949847|0.249763|0.188171|-61.0208|231.313|-19.0841|-27.6549|218.75|-18.1116|-0.935508|0.352253|-0.0272667|-27.6549|218.75|-18.1116|-13.1243|205.433|-17.2539|-0.736525|0.675012|-0.0434767|-13.1243|205.433|-17.2539|-2.58896|191.628|-16.4024|-0.605954|0.79399|-0.0489769|-114.226|248.956|5.56595|-55.33|228.151|1.30266|-0.940711|0.332303|0.0680953|-55.33|228.151|1.30266|-12.2015|215.119|2.37712|-0.956978|0.289179|-0.0238411|-12.2015|215.119|2.37712|14.5388|207.038|3.04329|-0.956978|0.289179|-0.0238411|14.5388|207.038|3.04329|29.3318|195.365|2.7872|-0.784933|0.619432|0.0135885|-116.941|246.834|17.3514|-52.5235|220.659|22.6262|-0.923785|0.375365|-0.0756437|-52.5235|220.659|22.6262|-7.07828|209.143|35.5068|-0.934726|0.236854|-0.264931|-7.07828|209.143|35.5068|19.7326|202.349|43.1058|-0.934726|0.236854|-0.264931|19.7326|202.349|43.1058|35.3489|192.382|47.1156|-0.823854|0.525846|-0.211541|-121.892|242.75|27.8522|-56.5127|212.623|42.8433|-0.889137|0.40972|-0.203874|-56.5127|212.623|42.8433|-26.9004|181.054|44.9631|-0.68333|0.728469|-0.0489156|-26.9004|181.054|44.9631|-25.1306|157.347|39.556|-0.0725929|0.97239|0.221782|-25.1306|157.347|39.556|-23.8796|140.589|35.7339|-0.072593|0.97239|0.221782|-137.306|224.773|28.5878|-137.306|224.773|28.5878|0.0|0.0|0.0|-137.306|224.773|28.5878|-98.1717|193.881|26.7424|-0.784379|0.619178|0.0369891|-98.1717|193.881|26.7424|-75.9377|177.319|6.39184|-0.646497|0.481556|0.591731|-75.9377|177.319|6.39184|-71.7184|175.164|-16.7346|-0.178732|0.0912862|0.979654
-57.7334|248.849|-33.796|-163.970044715|-34.0807762994|139.27071435|-0.822699|-0.307635|0.478045|-82.6515|267.978|-99.2387|139.362|350.996|-228.244|-70.5667|250.569|-83.206|-30.2417|225.464|-50.0031|-0.695797|0.43318|-0.572906|-30.2417|225.464|-50.0031|-39.2371|201.692|-24.9829|0.252213|0.666536|-0.701511|-39.2371|201.692|-24.9829|-50.3267|189.539|-14.0946|0.562111|0.61598|-0.551906|-50.3267|189.539|-14.0946|-60.0998|178.83|-4.49894|0.562111|0.61598|-0.551906|-71.4852|262.668|-75.7812|-33.2238|237.912|-32.8519|-0.611131|0.395413|-0.685688|-33.2238|237.912|-32.8519|-39.4193|205.066|-2.62299|0.137473|0.728833|-0.670749|-39.4193|205.066|-2.62299|-43.2607|184.7|16.1194|0.137473|0.728833|-0.670749|-43.2607|184.7|16.1194|-45.8515|170.964|28.7604|0.137473|0.728833|-0.670749|-78.2155|270.497|-69.1345|-41.0223|248.652|-14.344|-0.533375|0.313271|-0.78573|-41.0223|248.652|-14.344|-29.7312|221.93|24.6717|-0.232237|0.549625|-0.802483|-29.7312|221.93|24.6717|-26.4092|204.38|47.1144|-0.115819|0.611871|-0.782432|-26.4092|204.38|47.1144|-25.9933|191.992|61.4556|-0.0219408|0.653519|-0.756592|-87.3786|276.401|-63.4206|-54.2693|259.144|-0.0732247|-0.450273|0.234679|-0.861499|-54.2693|259.144|-0.0732247|-42.6672|234.317|33.4966|-0.26773|0.572916|-0.774653|-42.6672|234.317|33.4966|-40.0846|217.617|51.0698|-0.105929|0.685|-0.720801|-40.0846|217.617|51.0698|-39.6265|205.057|62.8623|-0.0265835|0.728754|-0.684259|-109.23|267.422|-61.6294|-109.23|267.422|-61.6294|0.0|0.0|0.0|-109.23|267.422|-61.6294|-84.7419|239.366|-28.4271|-0.490822|0.562337|-0.665485|-84.7419|239.366|-28.4271|-67.3132|217.437|-8.47445|-0.506775|0.637645|-0.580162|-67.3132|217.437|-8.47445|-55.0802|199.227|0.245952|-0.518197|0.771371|-0.369403
